City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Shimoda,JP,34.6667,138.95,82.76,83,100,12.64,overcast clouds
116,Barrow,US,71.2906,-156.7887,33.82,86,100,31.07,mist
117,Katangli,RU,51.7102,143.2326,54.66,70,98,9.51,overcast clouds
118,Sabaudia,IT,41.3003,13.0282,77.79,67,11,19.84,few clouds
119,Rio Tercero,AR,-32.173,-64.1141,56.44,46,100,6.67,overcast clouds
120,Mareeba,AU,-17.0,145.4333,87.44,46,1,9.82,clear sky
121,Hazorasp,UZ,41.3194,61.0742,76.84,31,8,7.7,clear sky
122,Vredendal,ZA,-31.6683,18.5012,56.16,87,79,2.53,broken clouds
123,Kedrovyy,RU,56.1667,91.8167,54.01,54,99,3.44,overcast clouds
124,Avarua,CK,-21.2078,-159.775,75.25,73,40,12.66,scattered clouds
125,Westport,US,41.1415,-73.3579,66.74,78,0,5.75,clear sky
126,Jinchang,CN,38.4953,102.1739,73.76,40,3,7.83,clear sky
127,West Bay,KY,19.3667,-81.4167,82.99,86,12,1.99,few clouds
128,Alofi,NU,-19.0595,-169.9187,75.09,83,0,3.44,clear sky
129,Rocha,UY,-34.4833,-54.3333,51.17,90,56,9.28,broken clouds
130,Perevolotskiy,RU,51.8763,54.1938,61.68,81,100,15.23,overcast clouds
131,Coihaique,CL,-45.5752,-72.0662,32.61,100,0,2.3,clear sky
132,Gat,IL,31.61,34.7642,82.4,100,2,7.49,clear sky
133,Port Hardy,CA,50.6996,-127.4199,50.0,100,75,2.3,broken clouds
134,Klaksvik,FO,62.2266,-6.589,47.32,74,100,7.99,overcast clouds
135,Yulara,AU,-25.2406,130.9889,76.42,13,0,4.5,clear sky
136,Vilcun,CL,-38.65,-72.2333,36.34,99,100,4.05,overcast clouds
137,Saskylakh,RU,71.9167,114.0833,34.18,98,100,22.17,snow
138,Nanortalik,GL,60.1432,-45.2371,46.78,88,100,7.72,moderate rain
139,Torbay,CA,47.6666,-52.7314,55.38,89,75,13.8,broken clouds
140,Clyde,US,41.3042,-82.9752,67.59,93,83,6.71,broken clouds
141,Carauari,BR,-4.8828,-66.8958,77.83,69,98,2.37,overcast clouds
142,Sibolga,ID,1.7427,98.7792,82.51,77,61,4.27,broken clouds
143,Novovarshavka,RU,54.1721,74.6946,61.34,36,16,9.42,few clouds
144,Sao Filipe,CV,14.8961,-24.4956,77.76,83,12,6.93,few clouds
145,Codrington,AU,-38.2667,141.9667,52.05,87,88,26.8,overcast clouds
146,San Carlos De Bariloche,AR,-41.1456,-71.3082,36.25,91,100,6.91,light snow
147,Gotsu,JP,35.0,132.2167,83.89,71,100,9.69,overcast clouds
148,Zhigansk,RU,66.7697,123.3711,38.89,60,71,17.47,broken clouds
149,Puerto Escondido,MX,15.85,-97.0667,78.44,87,99,15.23,overcast clouds
150,Sandwick,GB,60.0,-1.25,48.02,76,40,8.05,scattered clouds
151,Arman,RU,59.7,150.1667,55.02,45,16,2.59,few clouds
152,San Cristobal,VE,7.7669,-72.225,64.2,94,92,1.61,overcast clouds
153,Lazarev,RU,52.225,141.5131,56.3,54,52,9.89,broken clouds
154,Dikson,RU,73.5069,80.5464,36.5,77,94,14.36,overcast clouds
155,Namibe,AO,-15.1961,12.1522,67.12,84,45,1.79,scattered clouds
156,Buin,CL,-33.7333,-70.75,54.73,96,100,0.81,overcast clouds
157,Cabo San Lucas,MX,22.8909,-109.9124,84.51,72,6,1.99,clear sky
158,Hualmay,PE,-11.0964,-77.6139,60.87,88,43,9.6,scattered clouds
159,Kangaatsiaq,GL,68.3065,-53.4641,39.36,81,99,11.34,overcast clouds
160,Bilma,NE,18.6853,12.9164,89.29,35,94,6.96,overcast clouds
161,Tilichiki,RU,60.4667,166.1,44.91,61,82,16.15,broken clouds
162,Buriti,BR,-22.9302,-45.3881,56.82,94,98,2.77,overcast clouds
163,Shiyan,CN,32.6475,110.7781,83.7,48,93,1.83,overcast clouds
164,Swinoujscie,PL,53.9105,14.2471,54.18,92,32,18.63,scattered clouds
165,Ouegoa,NC,-20.35,164.4333,76.01,63,18,11.05,few clouds
166,Kawalu,ID,-7.3817,108.2082,82.24,69,91,6.96,overcast clouds
167,Sibu,MY,2.3,111.8167,91.71,52,40,3.44,light rain
168,Port-Cartier,CA,50.0334,-66.8654,46.08,67,71,13.2,broken clouds
169,Balikpapan,ID,-1.2675,116.8289,86.99,70,20,5.75,few clouds
