City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Pahrump,US,77.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
337,Ciudad Bolivar,VE,75.61,overcast clouds,8.1222,-63.5497,Hotel Edi
339,Ca Mau,VN,88.07,broken clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
342,Champerico,GT,75.72,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
343,Nagato,JP,84.96,overcast clouds,34.3833,131.2,いそう庵
344,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
349,Carlagan,PH,87.04,overcast clouds,14.975,122.0456,Cabatagan Island
352,Kulu,TR,81.64,clear sky,39.0951,33.0799,Kapadokya Motel
357,Korla,CN,81.36,clear sky,41.7597,86.1469,Gulisitan Hotel
359,Hurghada,EG,86.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
360,Akyab,MM,84.43,scattered clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
367,Puerto Colombia,CO,80.71,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
369,Kushima,JP,81.23,light rain,31.4583,131.2333,Hanaoka
382,Srisailam,IN,83.64,overcast clouds,16.0833,78.8667,Vasavi Satram
384,Cua,VE,79.11,scattered clouds,10.1589,-66.8858,Agropecuaria Amparo del Altísimo
387,Ierapetra,GR,76.14,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
391,Kavaratti,IN,80.92,broken clouds,10.5669,72.642,Green leaf
394,Karratha,AU,84.11,few clouds,-20.7377,116.8463,ibis Styles Karratha
395,Moroni,KM,77.0,few clouds,-11.7022,43.2551,Hotel Les Arcades
396,Isangel,VU,78.91,scattered clouds,-19.55,169.2667,Tanna Lodge
398,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
404,Yangjiang,CN,89.51,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
406,Kibala,TD,75.15,scattered clouds,9.1104,18.3463,Prasant Hotels
408,Dwarka,IN,81.61,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
417,Samarai,PG,83.52,broken clouds,-10.6167,150.6667,Nuli Sapi
418,Kon Tum,VN,83.01,scattered clouds,14.35,108.0,Hoa đà spa- homestay
419,Mahajanga,MG,82.42,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
422,Port Keats,AU,86.43,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
424,Patnongon,PH,83.71,light rain,10.9132,121.9937,La Veneranda Guest House
425,Ryotsu,JP,80.56,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
426,Liyang,CN,86.36,broken clouds,29.7057,118.2862,Hui Boutique Hotel
429,Bambanglipuro,ID,81.86,overcast clouds,-7.95,110.2833,Puri Brata
430,Nurota,UZ,83.01,overcast clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
434,Port Blair,IN,82.44,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
436,Puerto Padre,CU,78.69,clear sky,21.195,-76.6028,Casa Villa Velázquez
439,Roxana,CR,78.03,overcast clouds,10.2753,-83.7513,3BYES1
442,Bustamante,MX,76.71,clear sky,26.5333,-100.5,Hotel Hacienda los Nogales
443,Sabha,LY,85.86,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
448,Namatanai,PG,83.17,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
452,Dingle,PH,85.1,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
453,Nachalovo,RU,75.13,scattered clouds,46.338,48.2013,VILLA`RI
458,Fort-Shevchenko,KZ,75.07,few clouds,44.5086,50.263,Oasis hotel Bautino
459,Morant Bay,JM,83.82,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
460,Kuah,MY,84.18,scattered clouds,6.3265,99.8432,Azio Hotel
461,Ratnagiri,IN,81.73,broken clouds,16.9833,73.3,Hotel Landmark
464,Ambulu,ID,85.23,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
466,Kashi,CN,76.21,dust,39.4547,75.9797,帕米尔青年旅舍
471,Vaitape,PF,78.01,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
472,Ambunti,PG,83.82,scattered clouds,-4.2365,142.8448,AMBUNTI HIDE INN
474,Ayia Marina,GR,82.74,clear sky,37.75,23.5333,Argo Spa Hotel
477,Laiyang,CN,80.44,clear sky,36.9758,120.7136,莱阳恒银宾馆
479,Tezu,IN,85.84,light rain,27.9167,96.1667,Circuit House
480,Kilindoni,TZ,76.46,scattered clouds,-7.9139,39.6668,Bustani B&B
482,Hasaki,JP,84.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
483,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
486,Kudahuvadhoo,MV,81.68,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
487,Thanatpin,MM,86.18,overcast clouds,17.2119,96.3033,Lo Ta Ya Garden
488,Bintulu,MY,84.61,light rain,3.1667,113.0333,900 Boutique INN
489,Ranau,MY,80.24,overcast clouds,5.9538,116.6641,The Second Room
492,Callaway,US,76.93,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
501,Paka,MY,87.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
505,Wanning,CN,87.31,scattered clouds,18.8003,110.3967,Paradise Hotel
506,Alappuzha,IN,89.01,overcast clouds,9.49,76.3264,Panoramic Sea Resort
509,Phalaborwa,ZA,76.28,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
510,Dohar,BD,87.78,scattered clouds,23.5883,90.1469,zaman cominitue center
512,Juegang,CN,83.98,scattered clouds,32.3174,121.1855,Rudong Y Hotel
513,Bhum,IN,81.27,overcast clouds,18.4667,75.6667,धनंजय होम
516,Papara,BR,77.68,broken clouds,-3.9839,-38.7273,CAMPOS MARANGUAPE
517,Faya,SA,75.31,few clouds,18.3851,42.4509,املاك خالد الشعشوع
521,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
526,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
528,Kismayo,SO,80.46,few clouds,-0.3582,42.5454,Agan-Hotel
533,Kahului,US,80.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
534,Waingapu,ID,87.55,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
535,Road Town,VG,77.09,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
537,Barra Do Garcas,BR,75.78,clear sky,-15.89,-52.2567,Pousada Tropical
538,Manadhoo,MV,81.54,scattered clouds,5.7667,73.3833,Bon Abri maldives
540,Baoding,CN,89.06,broken clouds,38.8511,115.4903,Xiu Lan Hotel
547,Tual,ID,81.28,light rain,-5.6667,132.75,Grand Vilia Hotel
549,Ahuimanu,US,79.86,broken clouds,21.4447,-157.8378,Paradise Bay Resort
555,Mpulungu,ZM,82.67,few clouds,-8.7623,31.1141,Chela moche guest house
556,Mangan,IN,83.91,overcast clouds,27.5167,88.5333,Hotel Mout View
558,Harper,LR,76.51,overcast clouds,4.375,-7.7169,Screensaver
562,Manggar,ID,80.1,overcast clouds,-2.8833,108.2667,Guest Hotel
563,The Valley,AI,82.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
565,Canyon,US,75.69,clear sky,34.9803,-101.9188,"Holiday Inn Express & Suites Canyon, an IHG Hotel"
572,Progreso,MX,75.31,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
574,Indramayu,ID,85.93,broken clouds,-6.3264,108.32,Grand Trisula Hotel
576,Benghazi,LY,78.48,clear sky,32.1167,20.0667,Tibesti Hotel
577,Fare,PF,78.22,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
578,Leninskoye,KZ,85.32,broken clouds,41.7589,69.3864,Қалдыбайдың үйі 🏘️
579,Shenjiamen,CN,78.73,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
581,Balas,PH,87.24,broken clouds,15.0335,120.6059,Diaspora Farm Resort
582,Tautira,PF,77.13,clear sky,-17.7333,-149.15,Pension Oaoa
583,Kuching,MY,82.62,broken clouds,1.55,110.3333,Hilton Kuching
584,Acajutla,SV,76.98,moderate rain,13.5928,-89.8275,Laureles
588,Kibray,UZ,81.12,overcast clouds,41.3873,69.4641,Umid Gulshani Sanatorium
591,Basco,PH,83.32,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
594,Shepsi,RU,78.15,overcast clouds,44.0361,39.1489,Otel' Chayka
595,Kaseda,JP,82.42,light rain,31.4167,130.3167,Sun Stay Kaseda
598,Obidos,BR,76.8,broken clouds,-1.9175,-55.5181,Hotel Amazônia Center
603,Kisangani,CD,76.23,overcast clouds,0.5167,25.2,Grand Ramela Hotel
613,Manokwari,ID,79.93,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
618,Nuevo Laredo,MX,80.87,clear sky,27.4763,-99.5164,City Express Nuevo Laredo
622,Marsa Matruh,EG,75.4,few clouds,31.3525,27.2453,Beau Site
624,Sulangan,PH,84.83,overcast clouds,11.1373,123.7228,Maia's Beach Resort
634,Abha,SA,75.02,scattered clouds,18.2164,42.5053,Abha Hotel
635,Mitsamiouli,KM,77.29,few clouds,-11.3847,43.2844,Foyer ADM
640,Mandera,KE,85.39,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
645,Anamur,TR,85.35,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
648,Anan,JP,76.78,light rain,33.9167,134.65,Royal Garden Hotel
