City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Thompson,CA,2022-09-17 01:34:51,55.7435,-97.8558,57.36,62,40,2.3
127,Novopokrovka,UA,2022-09-17 01:34:51,49.8425,36.5477,53.4,89,42,5.03
128,South Hill,US,2022-09-17 01:34:51,47.1412,-122.2701,66.27,60,100,0.0
129,Enterprise,US,2022-09-17 01:33:36,36.0252,-115.2419,89.24,20,20,11.5
130,Touros,BR,2022-09-17 01:34:52,-5.1989,-35.4608,74.48,80,30,11.72
131,Amazar,RU,2022-09-17 01:34:52,53.858,120.875,39.65,97,100,14.29
132,Lorengau,PG,2022-09-17 01:34:53,-2.0226,147.2712,86.14,58,42,9.01
133,Tasiilaq,GL,2022-09-17 01:34:53,65.6145,-37.6368,39.36,96,100,12.46
134,Srednekolymsk,RU,2022-09-17 01:34:53,67.45,153.6833,39.51,63,95,9.64
135,Bar Harbor,US,2022-09-17 01:34:54,44.3876,-68.2039,57.02,59,0,10.0
136,Iskateley,RU,2022-09-17 01:34:54,67.6803,53.1512,48.45,92,99,7.27
137,Nome,US,2022-09-17 01:34:54,64.5011,-165.4064,50.07,87,100,21.85
138,Butka,RU,2022-09-17 01:35:55,56.7179,63.7866,48.36,49,97,10.92
139,Finschhafen,PG,2022-09-17 01:35:55,-6.6024,147.8681,84.83,68,62,6.69
140,Wilmington,US,2022-09-17 01:35:24,34.2257,-77.9447,72.9,82,0,1.99
141,Nemuro,JP,2022-09-17 01:35:56,43.3236,145.575,65.53,88,100,12.03
142,Khatanga,RU,2022-09-17 01:35:56,71.9667,102.5,30.02,91,96,15.41
143,Ilulissat,GL,2022-09-17 01:35:56,69.2167,-51.1,37.42,93,94,10.36
144,Amuntai,ID,2022-09-17 01:35:57,-2.4177,115.2494,83.14,70,100,1.01
145,Bluff,NZ,2022-09-17 01:35:57,-46.6,168.3333,50.2,60,17,8.43
146,Olafsvik,IS,2022-09-17 01:35:58,64.8945,-23.7142,48.36,83,100,1.14
147,Springbok,ZA,2022-09-17 01:35:58,-29.6643,17.8865,53.17,48,16,2.91
148,Cockburn Town,TC,2022-09-17 01:35:58,21.4612,-71.1419,83.7,78,95,20.78
149,Kavaratti,IN,2022-09-17 01:35:59,10.5669,72.642,80.62,78,25,10.49
150,Basco,PH,2022-09-17 01:35:59,20.4487,121.9702,83.01,73,92,16.75
151,Gazojak,TM,2022-09-17 01:35:59,41.1875,61.4036,64.13,50,10,9.6
152,La Ronge,CA,2022-09-17 01:31:19,55.1001,-105.2842,59.25,67,75,3.44
153,Visby,SE,2022-09-17 01:32:08,57.6409,18.296,56.05,76,75,13.8
154,Nakhon Phanom,TH,2022-09-17 01:36:00,17.3333,104.4167,84.52,83,100,7.02
155,Deputatskiy,RU,2022-09-17 01:36:00,69.3,139.9,35.04,63,38,5.86
156,San Policarpo,PH,2022-09-17 01:36:01,12.1791,125.5072,86.74,62,97,7.81
157,Inhambane,MZ,2022-09-17 01:36:01,-23.865,35.3833,67.03,85,0,8.08
158,Lompoc,US,2022-09-17 01:36:02,34.6391,-120.4579,69.94,81,0,17.27
159,Valparaiso,CL,2022-09-17 01:32:09,-33.0393,-71.6273,55.99,100,100,4.38
160,Lithakia,GR,2022-09-17 01:36:02,37.7167,20.8333,69.17,88,0,0.0
161,Yarada,IN,2022-09-17 01:36:02,17.65,83.2667,80.92,94,40,4.61
162,Villa Carlos Paz,AR,2022-09-17 01:36:03,-31.4241,-64.4978,64.38,28,100,8.46
163,Badvel,IN,2022-09-17 01:36:03,14.75,79.05,80.08,71,77,11.9
164,Dharchula,IN,2022-09-17 01:36:03,29.85,80.5333,71.13,85,95,1.52
165,Mar Del Plata,AR,2022-09-17 01:36:04,-38.0023,-57.5575,58.08,93,0,15.99
166,Chernyshevskiy,RU,2022-09-17 01:36:04,63.0128,112.4714,36.5,68,12,9.06
167,Tornio,FI,2022-09-17 01:36:04,65.8481,24.1466,50.02,91,100,15.75
168,Kruisfontein,ZA,2022-09-17 01:36:05,-34.0033,24.7314,55.89,81,100,10.07
169,Fortuna,US,2022-09-17 01:36:05,40.5982,-124.1573,62.65,74,66,5.99
170,Saint Anthony,US,2022-09-17 01:36:06,45.0205,-93.218,69.84,89,100,6.91
171,Acajutla,SV,2022-09-17 01:36:06,13.5928,-89.8275,79.56,82,100,0.56
172,Coquimbo,CL,2022-09-17 01:32:06,-29.9533,-71.3436,55.13,87,100,8.05
173,Margate,GB,2022-09-17 01:36:06,51.3813,1.3862,52.7,73,68,8.99
174,Broome,US,2022-09-17 01:36:07,42.2506,-75.833,61.66,76,100,4.61
175,Lieksa,FI,2022-09-17 01:36:07,63.3167,30.0167,48.06,91,100,5.66
176,Atuona,PF,2022-09-17 01:35:49,-9.8,-139.0333,76.68,71,10,18.66
177,Yellowknife,CA,2022-09-17 01:36:08,62.456,-114.3525,59.56,67,40,9.22
178,Ribeira Grande,PT,2022-09-17 01:36:08,38.5167,-28.7,73.54,85,40,10.58
179,Coihueco,CL,2022-09-17 01:36:09,-36.6167,-71.8333,50.74,82,20,5.75
180,Camacari,BR,2022-09-17 01:36:09,-12.6975,-38.3242,76.77,87,0,2.95
181,Carnarvon,AU,2022-09-17 01:36:09,-24.8667,113.6333,71.22,42,0,10.8
182,Lubango,AO,2022-09-17 01:34:19,-14.9172,13.4925,61.23,47,8,4.41
183,Provideniya,RU,2022-09-17 01:37:10,64.3833,-173.3,44.38,95,100,32.99
184,Sola,VU,2022-09-17 01:37:10,-13.8833,167.55,80.2,77,20,19.26
185,Mahebourg,MU,2022-09-17 01:37:11,-20.4081,57.7,70.25,78,40,12.66
186,Port Macquarie,AU,2022-09-17 01:37:11,-31.4333,152.9167,77.9,38,2,8.46
187,Bubaque,GW,2022-09-17 01:37:11,11.2833,-15.8333,81.1,83,100,11.45
188,Casablanca,MA,2022-09-17 01:37:07,33.5928,-7.6192,71.33,78,15,8.99
189,Belaya Gora,RU,2022-09-17 01:37:12,68.5333,146.4167,40.75,55,10,2.75
190,Chiredzi,ZW,2022-09-17 01:37:12,-21.05,31.6667,61.27,57,0,4.68
191,Nicoya,CR,2022-09-17 01:37:13,10.1483,-85.452,74.57,95,100,1.16
192,Shenzhen,CN,2022-09-17 01:33:25,22.5455,114.0683,91.85,62,1,1.99
193,Tommot,RU,2022-09-17 01:37:13,58.9564,126.2925,52.0,51,25,2.51
194,Wattegama,LK,2022-09-17 01:37:13,6.7989,81.4808,78.69,68,9,5.21
195,Hamilton,US,2022-09-17 01:37:00,39.1834,-84.5333,72.72,79,0,5.75
196,Assiniboia,CA,2022-09-17 01:37:14,49.6334,-105.9845,62.42,51,7,11.5
197,Port-Gentil,GA,2022-09-17 01:37:14,-0.7193,8.7815,76.01,78,100,9.73
198,Maarianhamina,AX,2022-09-17 01:37:15,60.0973,19.9348,48.06,100,20,2.3
199,Hervey Bay,AU,2022-09-17 01:37:15,-25.2986,152.8535,73.02,90,87,5.99
200,Taoudenni,ML,2022-09-17 01:37:15,22.6783,-3.9836,90.27,17,0,10.47
201,Tyup,KG,2022-09-17 01:37:16,42.7276,78.3648,58.82,27,6,2.24
202,Bocas Del Toro,PA,2022-09-17 01:37:16,9.3333,-82.25,80.73,78,96,4.83
203,Russkaya Polyana,UA,2022-09-17 01:37:16,49.417,31.9201,57.56,69,100,1.03
204,Askarovo,RU,2022-09-17 01:37:17,53.3372,58.5089,47.35,100,100,4.47
205,Pando,UY,2022-09-17 01:37:17,-34.7167,-55.95,60.89,72,0,11.5
206,Esperance,AU,2022-09-17 01:37:18,-33.8667,121.9,59.31,67,48,13.58
207,Bethel,US,2022-09-17 01:35:27,41.3712,-73.414,63.68,78,0,0.0
208,Panaba,MX,2022-09-17 01:37:18,21.2833,-88.2667,74.52,95,100,4.18
209,Road Town,VG,2022-09-17 01:37:18,18.4167,-64.6167,84.29,76,36,28.1
